"Recording_ID","Genus","Specific_epithet","Subspecies","English_name","Recordist","Country","Locality","Latitude","Longitude","Vocalization_type","Audio_file","License","Url","Quality","Time","Date","Altitude","Spectrogram_small","Spectrogram_med","Spectrogram_large","Spectrogram_full","Length","Uploaded","Other_species","Remarks","Bird_seen","Playback_used","Other_species1","Other_species2","Other_species3"
"497036","Phaethornis","longirostris","","Long-billed Hermit","Jerome Fischer","Panama","Achiote Road, Colón Province","9.2003","-79.9837","song","//www.xeno-canto.org/497036/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/497036","no score","09:30","2019-02-10","30","//www.xeno-canto.org/sounds/uploaded/JPBSNBUUEF/ffts/XC497036-small.png","//www.xeno-canto.org/sounds/uploaded/JPBSNBUUEF/ffts/XC497036-med.png","//www.xeno-canto.org/sounds/uploaded/JPBSNBUUEF/ffts/XC497036-large.png","//www.xeno-canto.org/sounds/uploaded/JPBSNBUUEF/ffts/XC497036-full.png","0:27","2019-09-13","","","yes","no",NA,NA,NA
"495384","Phaethornis","longirostris","cephalus","Long-billed Hermit","Guy Kirwan","Panama","Panama Rainforest Discovery Centre","9.1314","-79.7235","call","//www.xeno-canto.org/495384/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/495384","A","09:00","2019-07-04","70","//www.xeno-canto.org/sounds/uploaded/BZVYBRUAAE/ffts/XC495384-small.png","//www.xeno-canto.org/sounds/uploaded/BZVYBRUAAE/ffts/XC495384-med.png","//www.xeno-canto.org/sounds/uploaded/BZVYBRUAAE/ffts/XC495384-large.png","//www.xeno-canto.org/sounds/uploaded/BZVYBRUAAE/ffts/XC495384-full.png","0:49","2019-09-01","","Lek with up to three different individuals. Focal bird was perched 1.5 m above ground on a 45-degree angle twig.","yes","no",NA,NA,NA
"433645","Phaethornis","longirostris","","Long-billed Hermit","Oscar Campbell","Panama","Panama Rainforest Discovery Centre","9.1314","-79.7235","song","//www.xeno-canto.org/433645/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/433645","A","08:30","2018-07-10","70","//www.xeno-canto.org/sounds/uploaded/RFRTVEHIZX/ffts/XC433645-small.png","//www.xeno-canto.org/sounds/uploaded/RFRTVEHIZX/ffts/XC433645-med.png","//www.xeno-canto.org/sounds/uploaded/RFRTVEHIZX/ffts/XC433645-large.png","//www.xeno-canto.org/sounds/uploaded/RFRTVEHIZX/ffts/XC433645-full.png","0:58","2018-09-09","","Male seen on lek; 3 feet above ground in gap in undergrowth. Calling incessantly and quivering tail as doing so. Other lekking birds in immediate vicinity.","yes","no",NA,NA,NA
"402755","Phaethornis","longirostris","","Long-billed Hermit","Marilyn Castillo","Mexico","Boca de Chajul, Marqués de Comillas, Chiapas","16.1332","-90.9381","alarm call","//www.xeno-canto.org/402755/download","//creativecommons.org/licenses/by-nc-nd/4.0/","//www.xeno-canto.org/402755","A","07:30","2016-01-18","180","//www.xeno-canto.org/sounds/uploaded/CHRIDPJVMH/ffts/XC402755-small.png","//www.xeno-canto.org/sounds/uploaded/CHRIDPJVMH/ffts/XC402755-med.png","//www.xeno-canto.org/sounds/uploaded/CHRIDPJVMH/ffts/XC402755-large.png","//www.xeno-canto.org/sounds/uploaded/CHRIDPJVMH/ffts/XC402755-full.png","0:03","2018-02-14","","","yes","no",NA,NA,NA
"355350","Phaethornis","longirostris","","Long-billed Hermit","Kent Livezey","Panama","Torti, San Francisco Nature Reserve, Panama ","8.939","-78.465","song","//www.xeno-canto.org/355350/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/355350","A","09:12","2017-02-09","320","//www.xeno-canto.org/sounds/uploaded/SZFQBBYSTI/ffts/XC355350-small.png","//www.xeno-canto.org/sounds/uploaded/SZFQBBYSTI/ffts/XC355350-med.png","//www.xeno-canto.org/sounds/uploaded/SZFQBBYSTI/ffts/XC355350-large.png","//www.xeno-canto.org/sounds/uploaded/SZFQBBYSTI/ffts/XC355350-full.png","2:03","2017-02-11","Icterus chrysater","I was within 5 m of this singing hermit.","yes","no",NA,NA,NA
"282529","Phaethornis","longirostris","baroni","Long-billed Hermit","Karl S. Berg","Ecuador","Manabí: ""Tito Santos Biological Station""","-0.15","-80.2","song at lek","//www.xeno-canto.org/282529/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/282529","A","08:24","2002-05-28","50","//www.xeno-canto.org/sounds/uploaded/GTUEABVNSS/ffts/XC282529-small.png","//www.xeno-canto.org/sounds/uploaded/GTUEABVNSS/ffts/XC282529-med.png","//www.xeno-canto.org/sounds/uploaded/GTUEABVNSS/ffts/XC282529-large.png","//www.xeno-canto.org/sounds/uploaded/GTUEABVNSS/ffts/XC282529-full.png","0:20","2015-09-24","","<a href=http://johnvmoorenaturerecordings.com/pubs/ECUAD/main.htm>Moore et al. 2013: Bird Sounds of Ecuador DVD </a>","unknown","no",NA,NA,NA
"274377","Phaethornis","longirostris","","Long-billed Hermit","Peter Boesman","Costa Rica","La Selva biological station, Heredia","10.43","-84","song","//www.xeno-canto.org/274377/download","//creativecommons.org/licenses/by-nc-nd/4.0/","//www.xeno-canto.org/274377","A","08:20","2010-03-14","","//www.xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC274377-small.png","//www.xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC274377-med.png","//www.xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC274377-large.png","//www.xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC274377-full.png","0:47","2015-08-27","Henicorhina leucosticta","(Background: White-breasted Wood Wren)","unknown","unknown",NA,NA,NA
"271499","Phaethornis","longirostris","","Long-billed Hermit","Peter Boesman","Panama","Panama Rainforest discovery center","9.136797","-79.72363","song","//www.xeno-canto.org/271499/download","//creativecommons.org/licenses/by-nc-nd/4.0/","//www.xeno-canto.org/271499","A","14:00","2015-02-25","","//www.xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC271499-small.png","//www.xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC271499-med.png","//www.xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC271499-large.png","//www.xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC271499-full.png","0:36","2015-08-26","","","unknown","unknown",NA,NA,NA
"154138","Phaethornis","longirostris","","Long-billed Hermit","Marcelo Araya-Salas","Costa Rica","La Selva Biological Station, Sarapiqui, Heredia","10.430488","-84.00628","song","//www.xeno-canto.org/154138/download","//creativecommons.org/licenses/by-nc-sa/3.0/","//www.xeno-canto.org/154138","A","14:18","2010-05-21","","//www.xeno-canto.org/sounds/uploaded/EMCWQLLKEW/ffts/XC154138-small.png","//www.xeno-canto.org/sounds/uploaded/EMCWQLLKEW/ffts/XC154138-med.png","//www.xeno-canto.org/sounds/uploaded/EMCWQLLKEW/ffts/XC154138-large.png","//www.xeno-canto.org/sounds/uploaded/EMCWQLLKEW/ffts/XC154138-full.png","2:58","2013-11-11","","Recording equipment: Marantz Pmd 660+sennheiser ME67. Comments: individuo-AK; lek-Sura. Primera parte de grabacion CK. Luego de la pausa podria ser otro individuo. La otra percha marcada el 21/05 en la manana cerca de R14, a escasos 10 m al N. To access original .WAV file contact marceloa27(at)gmail.com","yes","no",NA,NA,NA
"154129","Phaethornis","longirostris","","Long-billed Hermit","Marcelo Araya-Salas","Costa Rica","La Selva Biological Station, Sarapiqui, Heredia","10.430488","-84.00628","song","//www.xeno-canto.org/154129/download","//creativecommons.org/licenses/by-nc-sa/3.0/","//www.xeno-canto.org/154129","A","10:09","2010-05-21","","//www.xeno-canto.org/sounds/uploaded/EMCWQLLKEW/ffts/XC154129-small.png","//www.xeno-canto.org/sounds/uploaded/EMCWQLLKEW/ffts/XC154129-med.png","//www.xeno-canto.org/sounds/uploaded/EMCWQLLKEW/ffts/XC154129-large.png","//www.xeno-canto.org/sounds/uploaded/EMCWQLLKEW/ffts/XC154129-full.png","2:25","2013-11-11","","Recording equipment: Marantz Pmd 660+sennheiser ME67. Comments: individuo-AK; lek-Sura. video 511, revisar. 9 metros de distancia. Percha de 2 m. al costado NO de casa 1. Interacccion agresiva. Un macho desplaza a otro. To access original .WAV file contact marceloa27(at)gmail.com","yes","no",NA,NA,NA
