"sound.files","selec","start","end","SNR"
"Phaethornis-longirostris-154070.wav",1,0.211065897190928,0.335913859679817,2.63464785190931
"Phaethornis-longirostris-154070.wav",3,1.48544314494879,1.62022308669956,2.67512287083533
"Phaethornis-longirostris-154070.wav",5,2.6968725058779,2.84811504339152,3.12370572253096
"Phaethornis-longirostris-154070.wav",7,3.94549009965972,4.1106101972379,3.48962164999504
"Phaethornis-longirostris-154070.wav",9,5.64027578466724,5.79419406088612,3.40733760729694
"Phaethornis-longirostris-154070.wav",11,6.95828117877183,7.11455773317161,3.51751629218926
"Phaethornis-longirostris-154070.wav",13,8.0841322526362,8.25387820356923,3.97949453590029
"Phaethornis-longirostris-154070.wav",15,9.22966587901043,9.39728030927994,4.18115409793339
"Phaethornis-longirostris-154070.wav",17,10.5698028068127,10.723947840549,3.11370692922894
"Phaethornis-longirostris-154070.wav",19,11.6144293379463,11.7824065802437,3.97875834989447
"Phaethornis-longirostris-154070.wav",21,13.0052692466381,13.152747609363,1.6665552919715
"Phaethornis-longirostris-154070.wav",23,14.1747031153457,14.3219093690497,2.67185161369915
"Phaethornis-longirostris-154070.wav",25,15.3261777886757,15.4720234972753,2.54513030438379
"Phaethornis-longirostris-154070.wav",27,16.4478111727165,16.6000060918032,3.50570385139076
"Phaethornis-longirostris-154070.wav",29,17.7321657512397,17.8883516026326,3.61322044719492
"Phaethornis-longirostris-154070.wav",31,19.4116226280714,19.5568334156223,0.551677758538237
"Phaethornis-longirostris-154070.wav",33,61.7069789905608,61.8610786727936,1.78749442803277
"Phaethornis-longirostris-154072.wav",2,0.713424206627748,0.828975060433366,6.32293931958787
"Phaethornis-longirostris-154072.wav",4,1.77546527654121,1.89078937292307,3.61763232787143
"Phaethornis-longirostris-154072.wav",6,3.10721162627255,3.21473526727713,4.00936685256406
"Phaethornis-longirostris-154072.wav",8,4.23256336889927,4.35686705926195,5.10999494856883
"Phaethornis-longirostris-154072.wav",10,5.47610108078872,5.58747959799719,5.05820267658496
"Phaethornis-longirostris-154072.wav",12,6.58285871466727,6.70924857332853,6.08877024421513
"Phaethornis-longirostris-154072.wav",14,7.97650984108458,8.09913552651145,5.70472805450398
"Phaethornis-longirostris-154072.wav",16,9.22367567175416,9.34421518888245,5.35865888373585
"Phaethornis-longirostris-154072.wav",18,10.6140161397846,10.7313357014955,5.59491353724265
"Phaethornis-longirostris-154072.wav",20,11.9054903710565,12.0194992743806,4.96028893652
"Phaethornis-longirostris-154072.wav",22,13.0496176283704,13.1711548781632,2.22895931581903
"Phaethornis-longirostris-154072.wav",24,14.1794138165028,14.3008603633261,5.38127055039226
"Phaethornis-longirostris-154072.wav",26,15.787078599463,15.9091147155881,4.31724624901271
"Phaethornis-longirostris-154072.wav",28,17.0683487466658,17.1871649073735,4.23723096494234
"Phaethornis-longirostris-154072.wav",30,18.4042220815095,18.5210427768882,4.48450794288483
"Phaethornis-longirostris-154072.wav",32,19.8900274249421,20.0114286202807,5.96343418324337
"Phaethornis-longirostris-154072.wav",34,21.4346082926128,21.5488893048454,5.96190369521485
"Phaethornis-longirostris-154072.wav",36,22.607896554622,22.7297512648081,6.6994377024738
"Phaethornis-longirostris-154072.wav",38,24.0239513145066,24.1441733712417,4.58562736209834
"Phaethornis-longirostris-154072.wav",40,25.4283053913253,25.5444458144327,5.29348358953949
"Phaethornis-longirostris-154072.wav",42,26.783725216097,26.9077114460664,4.33454159779972
"Phaethornis-longirostris-154072.wav",44,28.0910271155472,28.196328533799,3.27584665349817
"Phaethornis-longirostris-154072.wav",46,29.3892133665624,29.4995034481368,4.00511825566273
"Phaethornis-longirostris-154072.wav",48,30.6986467857959,30.8229958276434,1.21019671294501
"Phaethornis-longirostris-154072.wav",50,31.9484430025811,32.0594587079116,1.07041012584104
"Phaethornis-longirostris-154072.wav",52,33.2838174710926,33.3916132210057,1.05366081380208
"Phaethornis-longirostris-154072.wav",54,34.6434549839462,34.7461713675671,3.44021252792615
"Phaethornis-longirostris-154072.wav",56,36.2364712373316,36.36703343259,5.27318348399956
"Phaethornis-longirostris-154072.wav",58,37.4286257169975,37.5610473231307,5.1146583681749
"Phaethornis-longirostris-154072.wav",60,38.7735239973068,38.869619064154,2.73753852298432
