"Recording_ID","Genus","Specific_epithet","Subspecies","English_name","Recordist","Country","Locality","Latitude","Longitude","Vocalization_type","Audio_file","License","Url","Quality","Time","Date","Altitude","Spectrogram_small","Spectrogram_med","Spectrogram_large","Spectrogram_full","Length","Uploaded","Other_species","Remarks","Bird_seen","Playback_used","Other_species1","Other_species2","Other_species3","Other_species4","Other_species5","Other_species6","Other_species7","Other_species8"
"406968","Phaethornis","yaruqui","","White-whiskered Hermit","Myornis","Colombia","La Chocoana, Guachalito, Nuquí, Chocó","5.6271","-77.4042","flight call","//www.xeno-canto.org/406968/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/406968","A","?","2018-08-00","30","//www.xeno-canto.org/sounds/uploaded/OXSIOLJJUP/ffts/XC406968-small.png","//www.xeno-canto.org/sounds/uploaded/OXSIOLJJUP/ffts/XC406968-med.png","//www.xeno-canto.org/sounds/uploaded/OXSIOLJJUP/ffts/XC406968-large.png","//www.xeno-canto.org/sounds/uploaded/OXSIOLJJUP/ffts/XC406968-full.png","0:02","2018-03-23","","In forest.","yes","no",NA,NA,NA,NA,NA,NA,NA,NA
"403856","Phaethornis","yaruqui","","White-whiskered Hermit","Myornis","Colombia","La Chocoana, Guachalito, Nuquí, Chocó","5.6271","-77.4042","flight call","//www.xeno-canto.org/403856/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/403856","A","?","2017-08-00","10","//www.xeno-canto.org/sounds/uploaded/OXSIOLJJUP/ffts/XC403856-small.png","//www.xeno-canto.org/sounds/uploaded/OXSIOLJJUP/ffts/XC403856-med.png","//www.xeno-canto.org/sounds/uploaded/OXSIOLJJUP/ffts/XC403856-large.png","//www.xeno-canto.org/sounds/uploaded/OXSIOLJJUP/ffts/XC403856-full.png","0:04","2018-02-28","Coereba flaveola","Forest border.","yes","no",NA,NA,NA,NA,NA,NA,NA,NA
"403854","Phaethornis","yaruqui","","White-whiskered Hermit","Myornis","Colombia","La Chocoana, Guachalito, Nuquí, Chocó","5.6271","-77.4042","flight call","//www.xeno-canto.org/403854/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/403854","A","?","2017-08-00","10","//www.xeno-canto.org/sounds/uploaded/OXSIOLJJUP/ffts/XC403854-small.png","//www.xeno-canto.org/sounds/uploaded/OXSIOLJJUP/ffts/XC403854-med.png","//www.xeno-canto.org/sounds/uploaded/OXSIOLJJUP/ffts/XC403854-large.png","//www.xeno-canto.org/sounds/uploaded/OXSIOLJJUP/ffts/XC403854-full.png","0:01","2018-02-28","","Forest border.","yes","no",NA,NA,NA,NA,NA,NA,NA,NA
"387711","Phaethornis","yaruqui","","White-whiskered Hermit","Jerome Fischer","Ecuador","Amagusa Reserve Pichincha","0.1607","-78.8539","song","//www.xeno-canto.org/387711/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/387711","A","09:00","2017-09-24","1300","//www.xeno-canto.org/sounds/uploaded/JPBSNBUUEF/ffts/XC387711-small.png","//www.xeno-canto.org/sounds/uploaded/JPBSNBUUEF/ffts/XC387711-med.png","//www.xeno-canto.org/sounds/uploaded/JPBSNBUUEF/ffts/XC387711-large.png","//www.xeno-canto.org/sounds/uploaded/JPBSNBUUEF/ffts/XC387711-full.png","0:50","2017-09-27","","","yes","no",NA,NA,NA,NA,NA,NA,NA,NA
"275252","Phaethornis","yaruqui","","White-whiskered Hermit","Patricio Mena Valenzuela","Ecuador","Esmeraldas: San Miguel, Río Cayapas","0.75","-78.917","song, calls, wing noise","//www.xeno-canto.org/275252/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/275252","A","?","1996-12-00","70","//www.xeno-canto.org/sounds/uploaded/WQDBTPZFRV/ffts/XC275252-small.png","//www.xeno-canto.org/sounds/uploaded/WQDBTPZFRV/ffts/XC275252-med.png","//www.xeno-canto.org/sounds/uploaded/WQDBTPZFRV/ffts/XC275252-large.png","//www.xeno-canto.org/sounds/uploaded/WQDBTPZFRV/ffts/XC275252-full.png","0:23","2015-08-28",NA,"<a href=https://johnvmoorenaturerecordings.com/pubs/ECUAD/main.htm>Moore et al. 2013: Bird Sounds of Ecuador DVD </a>","unknown","no","Pachyramphus cinnamomeus","Threnetes ruckeri","Saltator grossus",NA,NA,NA,NA,NA
"261696","Phaethornis","yaruqui","","White-whiskered Hermit","Olaf Jahn","Ecuador","Esmeraldas: Playa de Oro, foothill zone ca. 7 km E of village, Río Santiago","0.867","-78.733","flight calls, wing noise","//www.xeno-canto.org/261696/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/261696","A","?","1997-04-22","150","//www.xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261696-small.png","//www.xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261696-med.png","//www.xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261696-large.png","//www.xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261696-full.png","0:10","2015-07-19","","<a href=https://johnvmoorenaturerecordings.com/pubs/ECUAD/main.htm>Moore et al. 2013: Bird Sounds of Ecuador DVD </a>","unknown","no",NA,NA,NA,NA,NA,NA,NA,NA
"261695","Phaethornis","yaruqui","","White-whiskered Hermit","Olaf Jahn","Ecuador","Esmeraldas: Awacachi Biological Corridor, Río Bogotá area","1.064","-78.681","flight calls, perch calls","//www.xeno-canto.org/261695/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/261695","A","?","2009-09-00","100","//www.xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261695-small.png","//www.xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261695-med.png","//www.xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261695-large.png","//www.xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261695-full.png","0:15","2015-07-19","","<a href=https://johnvmoorenaturerecordings.com/pubs/ECUAD/main.htm>Moore et al. 2013: Bird Sounds of Ecuador DVD </a>","unknown","no",NA,NA,NA,NA,NA,NA,NA,NA
"261694","Phaethornis","yaruqui","","White-whiskered Hermit","Olaf Jahn","Ecuador","Esmeraldas: Awacachi Biological Corridor, Río Bogotá area","1.064","-78.681","flight calls, song, take-off calls","//www.xeno-canto.org/261694/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/261694","A","?","2009-09-00","100","//www.xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261694-small.png","//www.xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261694-med.png","//www.xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261694-large.png","//www.xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261694-full.png","0:18","2015-07-19","","<a href=https://johnvmoorenaturerecordings.com/pubs/ECUAD/main.htm>Moore et al. 2013: Bird Sounds of Ecuador DVD </a>","unknown","no",NA,NA,NA,NA,NA,NA,NA,NA
"261693","Phaethornis","yaruqui","","White-whiskered Hermit","Olaf Jahn","Ecuador","Esmeraldas: Playa de Oro, foothill zone ca. 7 km E of village, Río Santiago","0.867","-78.733","flight calls","//www.xeno-canto.org/261693/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/261693","A","?","1997-09-16","350","//www.xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261693-small.png","//www.xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261693-med.png","//www.xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261693-large.png","//www.xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261693-full.png","0:14","2015-07-19","","<a href=https://johnvmoorenaturerecordings.com/pubs/ECUAD/main.htm>Moore et al. 2013: Bird Sounds of Ecuador DVD </a>Looped once","unknown","no",NA,NA,NA,NA,NA,NA,NA,NA
"261692","Phaethornis","yaruqui","","White-whiskered Hermit","Olaf Jahn","Ecuador","Esmeraldas: Playa de Oro, foothill zone ca. 7 km E of village, Río Santiago","0.867","-78.733","flight calls","//www.xeno-canto.org/261692/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/261692","A","?","1997-03-08","60","//www.xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261692-small.png","//www.xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261692-med.png","//www.xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261692-large.png","//www.xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261692-full.png","0:10","2015-07-19","","<a href=https://johnvmoorenaturerecordings.com/pubs/ECUAD/main.htm>Moore et al. 2013: Bird Sounds of Ecuador DVD </a>","unknown","no",NA,NA,NA,NA,NA,NA,NA,NA
